Count/ISBN	Category/PRIMARY AUTHOR			TITLE
96		In total

30		Islam
978-1941610435	al-Ghazali et al			Al-Ghazali the Mysteries of Charity and the Mysteries of Fasting: Book 5 & 6 of Ihya' 'ulum Al-Din, the Revival of the Religious Sciences 
978-1941610312	al-Ghazali et al			Al-Ghazali: the Mysteries of Purification: Book 3 of the Revival of the Religious Sciences
978-1590080115	al-Nawawi et al				Al-Maqasid: Nawawi's Manual of Islam
978-0946621507	Martin Lings				A Sufi Saint of the Twentieth Century
978-3458700067	al-Nawawi				Das Buch der Vierzig Hadithe: Kitab al-Arba'in. Mit dem Kommentar von Ibn Daqiq al-'Id
979-3534190393	Abd Elsamad Elschazli			Das Kriterium des Handelns
978-3458710332	Thomas Bauer				Die Kultur der Ambiguität
978-8496847743	M. Ali Kettani				El resurgir del Islam en al-Ándalus. Cómo lograron los andalusíes conservar su religión e identidad islámicas desde la caída de Granada hasta nuestros días
978-1974097715	Ibn Hazm et al				Foundational Islamic Principles 
978-3406467387	Navid Kermani				Gott ist schön: Das ästhetische Erleben des Koran
		Abd Elsamad Elschazli			Kants kritische Philosophie und das Problem der Offenbarung
978-3205993933	Günther Windhager			Leopold Weiss alias Muhammad Asad. Von Galizien nach Arabien 1900 - 1927
978-1887752312	al-Ghazali et al			MARVELS OF THE HEART: The Revival of the Religious Sciences 
978-1984152466	Ibn Hazm Al Andaloosee et al		Morals & Behaviours - Al Akhlaq Wa Al-Siyar
978-9698460419	Muhammad Asad et al			Homecoming of the Heart (1932-1992): Of the Road to Mecca Part 2
978-1929694150	Hamza Yusuf				Purification of the Heart: Signs, Symptoms and Cures of the Spiritual Diseases of the Heart
978-0915957729	Nuh Ha MIM Keller			Reliance of the Traveller: A Classic Manual of Islamic Sacred Law
978-1590080665	Nuh Ha MIM Keller			Sea Without Shore: A Manual of the Sufi Path
978-1941610152	al-Ghazali et al			The Book of Knowledge: The Revival of the Religious Sciences Volume I: Part I
978-1999377502	Shaykh Abu Mansoor al-Maturidi et al	The Book of Monotheism Kitaab At-Tawheed: God and the Universe - A Manual of Sunni Theology
978-0954250300	Imam Busiri				The Burda: The Poem of the Cloak
